"id","categoria","nivel","pregunta","opciones","respuesta_correcta","explicacion","activo"
1,"gramática","principiante","¿Cuál es la forma correcta del verbo 'ser' en presente para 'él'?","[""[Soy"", ""Eres"", ""Es"", ""Somos]""]",2,NULL,True
2,"gramática","principiante","Selecciona el artículo definido correcto para 'mesa'","[""[El"", ""La"", ""Los"", ""Las]""]",1,NULL,True
3,"gramática","principiante","¿Cómo se dice 'libro' en plural?","[""[Libros"", ""Libres"", ""Libroes"", ""Libra]""]",0,NULL,True
4,"gramática","principiante","Conjuga el verbo 'hablar' en presente para 'nosotros'","[""[Hablo"", ""Hablas"", ""Habla"", ""Hablamos]""]",3,NULL,True
5,"gramática","principiante","¿Cuál es el adjetivo posesivo para 'yo'?","[""[Mi"", ""Tu"", ""Su"", ""Nuestro]""]",0,NULL,True
6,"vocabulario","principiante","¿Qué objeto se usa para cortar papel?","[""[Lápiz"", ""Tijeras"", ""Libro"", ""Silla]""]",1,NULL,True
7,"vocabulario","principiante","¿Cómo se llama el lugar donde vives?","[""[Escuela"", ""Casa"", ""Tienda"", ""Parque]""]",1,NULL,True
8,"vocabulario","principiante","¿Qué animal hace 'miau'?","[""[Perro"", ""Pájaro"", ""Gato"", ""Pez]""]",2,NULL,True
9,"vocabulario","principiante","¿Qué color es el sol?","[""[Azul"", ""Verde"", ""Rojo"", ""Amarillo]""]",3,NULL,True
10,"vocabulario","principiante","¿Qué comes en el desayuno?","[""[Pizza"", ""Helado"", ""Cereal"", ""Pescado]""]",2,NULL,True
11,"verbos","principiante","¿Cuál es el infinitivo de 'como'?","[""[Comer"", ""Beber"", ""Vivir"", ""Correr]""]",0,NULL,True
12,"verbos","principiante","Conjuga 'beber' en presente para 'tú'","[""[Bebo"", ""Bebes"", ""Bebe"", ""Bebemos]""]",1,NULL,True
13,"verbos","principiante","¿Qué verbo significa 'moverse rápidamente'?","[""[Caminar"", ""Dormir"", ""Correr"", ""Leer]""]",2,NULL,True
14,"verbos","principiante","Conjuga 'vivir' en presente para 'ellos'","[""[Vivo"", ""Vives"", ""Vive"", ""Viven]""]",3,NULL,True
